pnum,father,mother,box,year,wytham_born,natal_box,age,x,y,repertoire_size
20201B161,te80930,tw77018,B161,2020,True,B8,5.0,447430.72,207645.76,1.0
20201B227,vs84262,ty70133,B227,2020,False,,6.0,447763.72,208100.76,3.0
20201C47,tw41667,tl39678,C47,2020,False,,4.0,446632.72,206921.76,6.0
20201CP9,vz29416,tx42383,CP9,2020,True,W80,6.0,446486.33,209112.71,3.0
20201EX25,tw41850,vz31314,EX25,2020,False,,5.0,446123.33,208965.71,1.0
20201EX78,ty69096,,EX78,2020,False,,5.0,446079.33,207964.71,2.0
20201MP42,ts47968,te80990,MP42,2020,True,MP92,5.0,448447.72,207210.76,3.0
20201MP65,ty70009,ty70010,MP65,2020,False,,6.0,448602.72,206929.76,3.0
20201MP68,vs84238,vs84227,MP68,2020,True,MP69,5.0,448478.72,206992.76,5.0
20201MP77,vz30902,vz30598,MP77,2020,False,,6.0,448383.72,207042.76,2.0
20201MP96,vz30994,ts47904,MP96,2020,True,B11,5.0,447925.72,207923.76,4.0
20201O27,tw41625,ty70703,O27,2020,False,,5.0,445124.72,207881.76,1.0
20201O3,tl38436,vz33534,O3,2020,True,EX7,5.0,445269.72,208067.76,1.0
20201O36,tv44361,vz33559,O36,2020,True,O38A,6.0,445310.72,207766.76,5.0
20201O52,vj57893,tv44478,O52,2020,False,,6.0,445377.72,207665.76,3.0
20201SW28,ts45460,tp27392,SW28,2020,True,SW1,6.0,446452.33,207484.71,3.0
20201SW70,vz31906,vs84179,SW70,2020,True,EX62C,5.0,447032.33,207397.71,1.0
20201W100,tl38410,vz33930,W100,2020,True,EX38,5.0,445358.33,209039.71,1.0
20201W71,vz30247,vz30317,W71,2020,True,W25,6.0,445813.33,209236.71,3.0
20201W77,ty68001,ty68002,W77,2020,False,,5.0,445609.33,209153.71,3.0
20201W99A,vz31898,ty68195,W99A,2020,True,W58,5.0,445385.33,209013.71,2.0
20211B227,vs84262,ty70025,B227,2021,False,,6.0,447763.72,208100.76,5.0
20211B60,te80930,,B60,2021,True,B8,6.0,447455.72,207705.76,5.0
20211C148,tw41667,tl39678,C148,2021,False,,6.0,446652.33,206898.75,5.0
20211CP5A,vz29416,vz33862,CP5A,2021,True,W80,6.0,446402.33,209265.71,3.0
20211EX25,tw41850,vz31314,EX25,2021,False,,6.0,446123.33,208965.71,5.0
20211MP42,ts47968,te80990,MP42,2021,True,MP92,6.0,448447.72,207210.76,3.0
20211MP66,ty70009,vz30985,MP66,2021,False,,6.0,448621.72,206914.76,4.0
20211MP69,vs84238,vs84227,MP69,2021,True,MP69,6.0,448519.72,206960.76,3.0
20211MP77,vz30902,vz30598,MP77,2021,False,,6.0,448383.72,207042.76,2.0
20211MP92,vz30994,vz33299,MP92,2021,True,B11,6.0,447983.72,207936.76,5.0
20211O118,ty69096,,O118,2021,False,,6.0,446026.33,207781.71,4.0
20211O3,tl38436,ty69305,O3,2021,True,EX7,6.0,445269.72,208067.76,2.0
20211O30,tv44361,te80789,O30,2021,True,O38A,6.0,445291.72,207960.76,6.0
20211O34,tw41625,ty69382,O34,2021,False,,6.0,445302.72,207803.76,2.0
20211O48,vj57893,tv44478,O48,2021,False,,6.0,445470.72,207553.76,3.0
20211SW30,ts45460,vz33751,SW30,2021,True,SW1,6.0,446515.33,207463.71,1.0
20211SW70,vz31906,vs84179,SW70,2021,True,EX62C,6.0,447032.33,207397.71,3.0
20211W100,tl38410,tw41888,W100,2021,True,EX38,6.0,445358.33,209039.71,4.0
20211W74,vz30247,ty68173,W74,2021,True,W25,6.0,445800.33,209211.71,1.0
20211W77,ty68001,te80782,W77,2021,False,,6.0,445609.33,209153.71,3.0
20211W99A,vz31898,tr43335,W99A,2021,True,W58,6.0,445385.33,209013.71,2.0
