,class_label
20201B227_20200423_030000_12,3
20201B227_20200423_040000_1,3
20201B227_20200423_040000_2,3
20201B227_20200424_030000_0,3
20201B227_20200424_030000_1,3
20201B227_20200424_030000_10,3
20201B227_20200424_030000_16,3
20201B227_20200424_030000_17,3
20201B227_20200424_030000_18,3
20201B227_20200424_030000_19,3
20201B227_20200424_030000_2,3
20201B227_20200424_030000_20,3
20201B227_20200424_030000_21,3
20201B227_20200424_030000_22,3
20201B227_20200424_030000_24,2
20201B227_20200424_030000_25,2
20201B227_20200424_030000_26,2
20201B227_20200424_030000_27,2
20201B227_20200424_030000_28,2
20201B227_20200424_030000_29,2
20201B227_20200424_030000_30,2
20201B227_20200424_030000_31,2
20201B227_20200424_030000_32,2
20201B227_20200424_030000_33,2
20201B227_20200424_030000_34,2
20201B227_20200424_030000_35,2
20201B227_20200424_030000_36,2
20201B227_20200424_030000_37,2
20201B227_20200424_030000_38,2
20201B227_20200424_030000_39,2
20201B227_20200424_030000_4,3
20201B227_20200424_030000_40,2
20201B227_20200424_030000_41,0
20201B227_20200424_030000_42,0
20201B227_20200424_030000_43,0
20201B227_20200424_030000_44,0
20201B227_20200424_030000_45,0
20201B227_20200424_030000_46,0
20201B227_20200424_030000_47,0
20201B227_20200424_030000_48,0
20201B227_20200424_030000_49,0
20201B227_20200424_030000_5,3
20201B227_20200424_030000_50,0
20201B227_20200424_030000_6,3
20201B227_20200424_030000_7,3
20201B227_20200424_030000_78,1
20201B227_20200424_030000_79,1
20201B227_20200424_030000_8,3
20201B227_20200424_030000_80,1
20201B227_20200424_030000_84,3
20201B227_20200424_040000_0,3
20201B227_20200424_040000_1,3
20201B227_20200424_040000_10,0
20201B227_20200424_040000_11,0
20201B227_20200424_040000_12,0
20201B227_20200424_040000_13,0
20201B227_20200424_040000_14,0
20201B227_20200424_040000_15,0
20201B227_20200424_040000_16,0
20201B227_20200424_040000_17,0
20201B227_20200424_040000_18,0
20201B227_20200424_040000_19,0
20201B227_20200424_040000_2,3
20201B227_20200424_040000_20,0
20201B227_20200424_040000_21,0
20201B227_20200424_040000_22,0
20201B227_20200424_040000_23,0
20201B227_20200424_040000_24,0
20201B227_20200424_040000_32,0
20201B227_20200424_040000_33,0
20201B227_20200424_040000_4,3
20201B227_20200424_040000_6,0
20201B227_20200424_040000_7,0
20201B227_20200424_040000_8,0
20201B227_20200424_040000_9,0
20201B227_20200425_030000_13,3
20201B227_20200425_030000_14,3
20201B227_20200425_030000_16,3
20201B227_20200425_030000_17,3
20201B227_20200425_030000_18,3
20201B227_20200425_030000_19,3
20201B227_20200425_030000_20,3
20201B227_20200425_030000_21,3
20201B227_20200425_030000_33,2
20201B227_20200425_030000_37,2
20201B227_20200425_030000_38,2
20201B227_20200425_030000_39,2
20201B227_20200425_030000_40,2
20201B227_20200425_030000_41,2
20201B227_20200425_030000_42,2
20201B227_20200425_030000_43,2
20201B227_20200425_030000_44,2
20201B227_20200425_030000_45,2
20201B227_20200425_030000_46,2
20201B227_20200425_030000_47,2
20201B227_20200425_030000_48,2
20201B227_20200425_030000_49,0
20201B227_20200425_030000_50,0
20201B227_20200425_030000_51,0
20201B227_20200425_030000_52,0
20201B227_20200425_030000_53,0
20201B227_20200425_030000_54,0
