pnum,april_lay_date,clutch_size,num_fledglings,father,mother,box,year,wytham_born,natal_box,age,x,y
20211B108,22.0,8.0,6,vz33290,vz30775,B108,2021,False,,6.0,447807.72,207495.76
20211B119,30.0,7.0,7,ty69088,ty68281,B119,2021,True,SW2,5.0,447917.72,207770.76
20211B137,19.0,7.0,6,ty70093,tw77193,B137,2021,True,MP76,5.0,447627.72,207477.76
20211B14,30.0,5.0,5,tr43355,tw77053,B14,2021,False,,6.0,447778.72,207683.76
20211B144,,,0,,,B144,2021,,,,447505.72,207485.76
20211B161,,,0,,,B161,2021,,,,447430.72,207645.76
20211B162,26.0,7.0,0,,ty68078,B162,2021,,,,447425.72,207600.76
20211B163,19.0,4.0,0,,,B163,2021,,,,447469.72,207578.76
20211B174,29.0,5.0,0,,,B174,2021,,,,447714.72,207418.76
20211B18,28.0,5.0,5,vz30961,tr43351,B18,2021,False,,6.0,447895.72,207732.76
20211B194,30.0,5.0,5,vz33297,vz33699,B194,2021,False,,5.0,447875.72,207960.76
20211B195,,,0,,,B195,2021,,,,447788.72,207914.76
20211B208,24.0,6.0,6,ty68248,vz33698,B208,2021,False,,5.0,447583.72,207817.76
20211B216,21.0,8.0,5,,ty69127,B216,2021,,,,447663.72,207776.76
20211B226,15.0,7.0,6,vz33700,,B226,2021,False,,5.0,447840.72,208003.76
20211B227,18.0,6.0,5,vs84262,ty70025,B227,2021,False,,6.0,447763.72,208100.76
20211B24,34.0,4.0,2,ty68426,ty68280,B24,2021,False,,6.0,447850.72,207818.76
20211B27,20.0,7.0,0,,,B27,2021,,,,447787.72,207749.76
20211B32,15.0,6.0,5,tw77004,vz33287,B32,2021,True,B4,5.0,447671.72,207612.76
20211B35,,,0,,,B35,2021,,,,447668.72,207577.76
20211B36,23.0,8.0,5,ty68250,vz30536,B36,2021,False,,5.0,447687.72,207515.76
20211B39,23.0,7.0,5,vb55885,vz33687,B39,2021,True,B12,6.0,447589.54,207473.85
20211B5,22.0,9.0,8,vz33282,vz32629,B5,2021,False,,6.0,447829.72,207426.76
