,bird1,bird2,shared,total_rep,ac_sim,spatial_dist,sharing_index,april_lay_date_1,clutch_size_1,num_fledglings_1,father_1,mother_1,box_1,year_1,wytham_born_1,natal_box_1,dispersal_distance_1,age_1,x_1,y_1,recorded_1,repertoire_size_1,self_similarity_1,april_lay_date_2,clutch_size_2,num_fledglings_2,father_2,mother_2,box_2,year_2,wytham_born_2,natal_box_2,dispersal_distance_2,age_2,x_2,y_2,recorded_2,repertoire_size_2,self_similarity_2
0,20201B161,20201B165,0,4,0.4060433333333333,128.86,0.0,15.0,9.0,8,te80930,tw77018,B161,2020,True,B8,383.7,5.0,447430.72,207645.76,True,1.0,,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
26,20201B175,20201B165,0,5,0.321295,299.55,0.0,20.0,3.0,0,,,B175,2020,,,,,447753.72,207473.76,True,2.0,0.29746,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
44,20201B207,20201B165,0,4,0.42477000000000004,328.22,0.0,22.0,4.0,3,ty70159,,B207,2020,False,,,6.0,447530.72,207839.76,True,1.0,,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
51,20201B221,20201B165,0,5,0.4064316666666667,201.56,0.0,19.0,9.0,0,vz33585,,B221,2020,False,,,6.0,447557.72,207344.76,True,2.0,0.3616,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
69,20201B225,20201B165,0,5,0.43986166666666665,541.3,0.0,15.0,8.0,0,vz30587,tx42888,B225,2020,False,,,5.0,447796.72,207941.76,True,2.0,0.40012,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
89,20201B27,20201B165,0,7,0.3919358333333333,402.24,0.0,19.0,8.0,2,,tr43266,B27,2020,,,,,447787.72,207749.76,True,4.0,0.40747833333333333,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
97,20201B3,20201B165,0,8,0.35104199999999997,388.13,0.0,19.0,7.0,6,,vz30775,B3,2020,,,,,447845.72,207529.76,True,5.0,0.32786,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
107,20201B4,20201B165,0,8,0.355844,390.6,0.0,13.0,9.0,9,tr43324,vz32629,B4,2020,False,,,5.0,447845.72,207474.76,True,5.0,0.33875700000000003,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
110,20201B67,20201B165,2,7,0.38762416666666666,50.64,0.2857142857142857,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
595,20201MP98,20201B165,0,6,0.34172444444444444,499.32,0.0,18.0,7.0,0,,,MP98,2020,,,,,447817.72,207173.76,True,3.0,0.27349666666666667,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
867,20201P14,20201B165,0,5,0.37248,308.3,0.0,17.0,9.0,8,vs84049,te80810,P14,2020,True,B63,250.9,5.0,447153.33,207568.71,True,2.0,0.31476,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
878,20201P17,20201B165,0,5,0.377575,460.66,0.0,19.0,9.0,4,tw41802,tw77017,P17,2020,False,,,6.0,447006.33,207611.71,True,2.0,0.24395,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
886,20201P2,20201B165,0,4,0.38197333333333333,251.54,0.0,18.0,7.0,7,,vz30892,P2,2020,,,,,447207.33,207495.71,True,1.0,,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
895,20201P7,20201B165,0,5,0.37196333333333326,301.79,0.0,18.0,9.0,0,,vs84191,P7,2020,,,,,447254.33,207742.71,True,2.0,0.26165,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
968,20201SW70,20201B165,0,4,0.2978366666666667,442.55,0.0,17.0,7.0,5,vz31906,vs84179,SW70,2020,True,EX62C,1115.6,5.0,447032.33,207397.71,True,1.0,,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
976,20201SW73,20201B165,0,4,0.54664,425.34,0.0,20.0,9.0,8,vz31181,tr42800,SW73,2020,True,P7,471.9,5.0,447094.33,207298.71,True,1.0,,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
986,20201SW76,20201B165,0,5,0.3390516666666667,342.82,0.0,16.0,8.0,8,tr43321,tr43320,SW76,2020,False,,,5.0,447158.33,207352.75,True,2.0,0.31767,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997
1,20201B161,20201B67,0,5,0.36344,179.45,0.0,15.0,9.0,8,te80930,tw77018,B161,2020,True,B8,383.7,5.0,447430.72,207645.76,True,1.0,,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334
10,20201B165,20201B67,2,7,0.38762416666666666,50.64,0.2857142857142857,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334
25,20201B175,20201B67,0,6,0.32381875,288.03,0.0,20.0,3.0,0,,,B175,2020,,,,,447753.72,207473.76,True,2.0,0.29746,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334
47,20201B207,20201B67,0,5,0.501495,375.67,0.0,22.0,4.0,3,ty70159,,B207,2020,False,,,6.0,447530.72,207839.76,True,1.0,,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334
50,20201B221,20201B67,2,6,0.41492874999999996,155.21,0.3333333333333333,19.0,9.0,0,vz33585,,B221,2020,False,,,6.0,447557.72,207344.76,True,2.0,0.3616,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334
96,20201B3,20201B67,0,9,0.3077145,384.71,0.0,19.0,7.0,6,,vz30775,B3,2020,,,,,447845.72,207529.76,True,5.0,0.32786,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334
106,20201B4,20201B67,0,9,0.3475545,380.03,0.0,13.0,9.0,9,tr43324,vz32629,B4,2020,False,,,5.0,447845.72,207474.76,True,5.0,0.33875700000000003,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334
594,20201MP98,20201B67,4,7,0.3801233333333333,459.91,0.5714285714285714,18.0,7.0,0,,,MP98,2020,,,,,447817.72,207173.76,True,3.0,0.27349666666666667,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334
868,20201P14,20201B67,0,6,0.40497875,327.69,0.0,17.0,9.0,8,vs84049,te80810,P14,2020,True,B63,250.9,5.0,447153.33,207568.71,True,2.0,0.31476,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334
879,20201P17,20201B67,0,6,0.30337125,480.82,0.0,19.0,9.0,4,tw41802,tw77017,P17,2020,False,,,6.0,447006.33,207611.71,True,2.0,0.24395,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334
887,20201P2,20201B67,0,5,0.35226999999999997,259.69,0.0,18.0,7.0,7,,vz30892,P2,2020,,,,,447207.33,207495.71,True,1.0,,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334
896,20201P7,20201B67,0,6,0.41439625,345.24,0.0,18.0,9.0,0,,vs84191,P7,2020,,,,,447254.33,207742.71,True,2.0,0.26165,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334
967,20201SW70,20201B67,0,5,0.3412875,439.34,0.0,17.0,7.0,5,vz31906,vs84179,SW70,2020,True,EX62C,1115.6,5.0,447032.33,207397.71,True,1.0,,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334
975,20201SW73,20201B67,0,5,0.4517775,408.89,0.0,20.0,9.0,8,vz31181,tr42800,SW73,2020,True,P7,471.9,5.0,447094.33,207298.71,True,1.0,,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334
985,20201SW76,20201B67,0,6,0.3475275,328.91,0.0,16.0,8.0,8,tr43321,tr43320,SW76,2020,False,,,5.0,447158.33,207352.75,True,2.0,0.31767,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334
2,20201B161,20201P7,2,3,0.39527999999999996,201.28,0.6666666666666666,15.0,9.0,8,te80930,tw77018,B161,2020,True,B8,383.7,5.0,447430.72,207645.76,True,1.0,,18.0,9.0,0,,vs84191,P7,2020,,,,,447254.33,207742.71,True,2.0,0.26165
15,20201B165,20201P7,0,5,0.37196333333333337,301.79,0.0,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997,18.0,9.0,0,,vs84191,P7,2020,,,,,447254.33,207742.71,True,2.0,0.26165
43,20201B207,20201P7,0,3,0.45491499999999996,292.93,0.0,22.0,4.0,3,ty70159,,B207,2020,False,,,6.0,447530.72,207839.76,True,1.0,,18.0,9.0,0,,vs84191,P7,2020,,,,,447254.33,207742.71,True,2.0,0.26165
77,20201B227,20201P7,2,5,0.38292666666666664,622.64,0.4,20.0,9.0,7,vs84262,ty70133,B227,2020,False,,,6.0,447763.72,208100.76,True,3.0,0.3620933333333333,18.0,9.0,0,,vs84191,P7,2020,,,,,447254.33,207742.71,True,2.0,0.26165
117,20201B67,20201P7,2,6,0.41439625,345.24,0.3333333333333333,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334,18.0,9.0,0,,vs84191,P7,2020,,,,,447254.33,207742.71,True,2.0,0.26165
862,20201P14,20201P7,0,4,0.3443375,201.19,0.0,17.0,9.0,8,vs84049,te80810,P14,2020,True,B63,250.9,5.0,447153.33,207568.71,True,2.0,0.31476,18.0,9.0,0,,vs84191,P7,2020,,,,,447254.33,207742.71,True,2.0,0.26165
873,20201P17,20201P7,0,4,0.38680000000000003,280.47,0.0,19.0,9.0,4,tw41802,tw77017,P17,2020,False,,,6.0,447006.33,207611.71,True,2.0,0.24395,18.0,9.0,0,,vs84191,P7,2020,,,,,447254.33,207742.71,True,2.0,0.26165
885,20201P2,20201P7,0,3,0.27853,251.43,0.0,18.0,7.0,7,,vz30892,P2,2020,,,,,447207.33,207495.71,True,1.0,,18.0,9.0,0,,vs84191,P7,2020,,,,,447254.33,207742.71,True,2.0,0.26165
966,20201SW70,20201P7,0,3,0.32765,410.25,0.0,17.0,7.0,5,vz31906,vs84179,SW70,2020,True,EX62C,1115.6,5.0,447032.33,207397.71,True,1.0,,18.0,9.0,0,,vs84191,P7,2020,,,,,447254.33,207742.71,True,2.0,0.26165
979,20201SW73,20201P7,0,3,0.413725,471.95,0.0,20.0,9.0,8,vz31181,tr42800,SW73,2020,True,P7,471.9,5.0,447094.33,207298.71,True,1.0,,18.0,9.0,0,,vs84191,P7,2020,,,,,447254.33,207742.71,True,2.0,0.26165
989,20201SW76,20201P7,0,4,0.31412249999999997,401.6,0.0,16.0,8.0,8,tr43321,tr43320,SW76,2020,False,,,5.0,447158.33,207352.75,True,2.0,0.31767,18.0,9.0,0,,vs84191,P7,2020,,,,,447254.33,207742.71,True,2.0,0.26165
3,20201B161,20201B207,0,2,0.39775,218.26,0.0,15.0,9.0,8,te80930,tw77018,B161,2020,True,B8,383.7,5.0,447430.72,207645.76,True,1.0,,22.0,4.0,3,ty70159,,B207,2020,False,,,6.0,447530.72,207839.76,True,1.0,
17,20201B165,20201B207,0,4,0.42477000000000004,328.22,0.0,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997,22.0,4.0,3,ty70159,,B207,2020,False,,,6.0,447530.72,207839.76,True,1.0,
29,20201B175,20201B207,0,3,0.41564999999999996,428.58,0.0,20.0,3.0,0,,,B175,2020,,,,,447753.72,207473.76,True,2.0,0.29746,22.0,4.0,3,ty70159,,B207,2020,False,,,6.0,447530.72,207839.76,True,1.0,
36,20201B205,20201B207,0,2,0.29968,365.56,0.0,21.0,7.0,5,vz32583,ty70131,B205,2020,True,MP75,878.1,6.0,447877.72,207724.76,True,1.0,,22.0,4.0,3,ty70159,,B207,2020,False,,,6.0,447530.72,207839.76,True,1.0,
64,20201B225,20201B207,0,3,0.46352,284.89,0.0,15.0,8.0,0,vz30587,tx42888,B225,2020,False,,,5.0,447796.72,207941.76,True,2.0,0.40012,22.0,4.0,3,ty70159,,B207,2020,False,,,6.0,447530.72,207839.76,True,1.0,
72,20201B227,20201B207,0,4,0.49065,349.87,0.0,20.0,9.0,7,vs84262,ty70133,B227,2020,False,,,6.0,447763.72,208100.76,True,3.0,0.3620933333333333,22.0,4.0,3,ty70159,,B207,2020,False,,,6.0,447530.72,207839.76,True,1.0,
84,20201B27,20201B207,0,5,0.5403249999999999,272.3,0.0,19.0,8.0,2,,tr43266,B27,2020,,,,,447787.72,207749.76,True,4.0,0.40747833333333333,22.0,4.0,3,ty70159,,B207,2020,False,,,6.0,447530.72,207839.76,True,1.0,
118,20201B67,20201B207,2,5,0.501495,375.67,0.4,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334,22.0,4.0,3,ty70159,,B207,2020,False,,,6.0,447530.72,207839.76,True,1.0,
585,20201MP96,20201B207,0,5,0.434925,403.83,0.0,25.0,9.0,7,vz30994,ts47904,MP96,2020,True,B11,392.2,5.0,447925.72,207923.76,True,4.0,0.3951883333333333,22.0,4.0,3,ty70159,,B207,2020,False,,,6.0,447530.72,207839.76,True,1.0,
894,20201P7,20201B207,0,3,0.45491499999999996,292.93,0.0,18.0,9.0,0,,vs84191,P7,2020,,,,,447254.33,207742.71,True,2.0,0.26165,22.0,4.0,3,ty70159,,B207,2020,False,,,6.0,447530.72,207839.76,True,1.0,
4,20201B161,20201P2,0,2,0.44276,269.11,0.0,15.0,9.0,8,te80930,tw77018,B161,2020,True,B8,383.7,5.0,447430.72,207645.76,True,1.0,,18.0,7.0,7,,vz30892,P2,2020,,,,,447207.33,207495.71,True,1.0,
13,20201B165,20201P2,0,4,0.38197333333333333,251.54,0.0,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997,18.0,7.0,7,,vz30892,P2,2020,,,,,447207.33,207495.71,True,1.0,
57,20201B221,20201P2,0,3,0.34954999999999997,381.52,0.0,19.0,9.0,0,vz33585,,B221,2020,False,,,6.0,447557.72,207344.76,True,2.0,0.3616,18.0,7.0,7,,vz30892,P2,2020,,,,,447207.33,207495.71,True,1.0,
113,20201B67,20201P2,0,5,0.35226999999999997,259.69,0.0,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334,18.0,7.0,7,,vz30892,P2,2020,,,,,447207.33,207495.71,True,1.0,
860,20201P14,20201P2,2,3,0.53691,90.8,0.6666666666666666,17.0,9.0,8,vs84049,te80810,P14,2020,True,B63,250.9,5.0,447153.33,207568.71,True,2.0,0.31476,18.0,7.0,7,,vz30892,P2,2020,,,,,447207.33,207495.71,True,1.0,
872,20201P17,20201P2,0,3,0.280405,232.07,0.0,19.0,9.0,4,tw41802,tw77017,P17,2020,False,,,6.0,447006.33,207611.71,True,2.0,0.24395,18.0,7.0,7,,vz30892,P2,2020,,,,,447207.33,207495.71,True,1.0,
892,20201P7,20201P2,0,3,0.27853,251.43,0.0,18.0,9.0,0,,vs84191,P7,2020,,,,,447254.33,207742.71,True,2.0,0.26165,18.0,7.0,7,,vz30892,P2,2020,,,,,447207.33,207495.71,True,1.0,
949,20201SW46,20201P2,0,5,0.37338,540.48,0.0,27.0,7.0,6,vz30605,ta15788,SW46,2020,True,C133,812.3,6.0,446668.33,207455.71,True,4.0,0.395675,18.0,7.0,7,,vz30892,P2,2020,,,,,447207.33,207495.71,True,1.0,
962,20201SW70,20201P2,0,2,0.27979,200.57,0.0,17.0,7.0,5,vz31906,vs84179,SW70,2020,True,EX62C,1115.6,5.0,447032.33,207397.71,True,1.0,,18.0,7.0,7,,vz30892,P2,2020,,,,,447207.33,207495.71,True,1.0,
972,20201SW73,20201P2,0,2,0.49711,227.11,0.0,20.0,9.0,8,vz31181,tr42800,SW73,2020,True,P7,471.9,5.0,447094.33,207298.71,True,1.0,,18.0,7.0,7,,vz30892,P2,2020,,,,,447207.33,207495.71,True,1.0,
982,20201SW76,20201P2,0,3,0.19569999999999999,151.12,0.0,16.0,8.0,8,tr43321,tr43320,SW76,2020,False,,,5.0,447158.33,207352.75,True,2.0,0.31767,18.0,7.0,7,,vz30892,P2,2020,,,,,447207.33,207495.71,True,1.0,
5,20201B161,20201P14,0,3,0.348,287.89,0.0,15.0,9.0,8,te80930,tw77018,B161,2020,True,B8,383.7,5.0,447430.72,207645.76,True,1.0,,17.0,9.0,8,vs84049,te80810,P14,2020,True,B63,250.9,5.0,447153.33,207568.71,True,2.0,0.31476
16,20201B165,20201P14,0,5,0.37248,308.3,0.0,23.0,8.0,0,,,B165,2020,,,,,447457.72,207519.76,True,3.0,0.39400999999999997,17.0,9.0,8,vs84049,te80810,P14,2020,True,B63,250.9,5.0,447153.33,207568.71,True,2.0,0.31476
59,20201B221,20201P14,0,4,0.45625,462.26,0.0,19.0,9.0,0,vz33585,,B221,2020,False,,,6.0,447557.72,207344.76,True,2.0,0.3616,17.0,9.0,8,vs84049,te80810,P14,2020,True,B63,250.9,5.0,447153.33,207568.71,True,2.0,0.31476
115,20201B67,20201P14,0,6,0.40497875,327.69,0.0,25.0,7.0,0,,tw77127,B67,2020,,,,,447465.72,207469.76,True,4.0,0.3884033333333334,17.0,9.0,8,vs84049,te80810,P14,2020,True,B63,250.9,5.0,447153.33,207568.71,True,2.0,0.31476
