Pnum,Section,Owner,Mixed species,Species,State code,Closed,Clear date,Missing entire brood,Suspected predation,Lay date,April lay date,Lay date uncertainty,Lay date visit interval,Laying rate,Incubation started,Num broken eggs,Expected hatch date,Hatch date,April hatch date,Incubation duration,Total egg weight,Num eggs weighed,Clutch size,Num chicks,Num chicks ringed,April ring date,Ring day,Num live chicks,Num dead chicks,Num fledglings,Mean chick weight,Num linked pulli records,Num linked adult records,Father,Mother,Identified adults,Chick ids,Dead ringed chick ids,Experiment codes,Num eggs manipulated,Comments,Legacy average egg weight,Legacy max nest state code,Legacy last visit date,Legacy hatch age in days,Legacy april hatch date,Legacy predation,Legacy clutch accuracy,Legacy mean fledge weight,Legacy num ringed dead chicks
20211B1,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B10,b,Keith Mc Mahon,false,b,6,true,07-06-2021,,,22-04-2021,22,0,3,1.00,true,0,13-05-2021,17-05-2021,47,17,3.20,3,9,6,6,61,15,6,0,6,11.37,6,4,and7457,abj6498,"abj6498, 3b001943bd, and7457",,,,0,,,,,,,,,,
20211B100,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B101,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B102,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B103,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B104,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B105,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B106,b,Keith Mc Mahon,false,b,6,true,16-06-2021,,,22-04-2021,22,0,3,1.00,true,0,13-05-2021,14-05-2021,44,14,2.80,3,9,8,8,58,15,8,6,2,8.45,8,3,,avl5803,avl5803,,"avl6996, avl6993, avl6989, avl6992, avl6990, avl6994",,0,not hatched fon ringed avl7?,,,,,,,,,
20211B107,b,Keith Mc Mahon,false,b,6,true,16-06-2021,,,22-04-2021,22,0,3,1.00,true,0,13-05-2021,14-05-2021,44,14,3.60,3,9,8,8,58,15,8,0,8,11.34,8,2,j215736,avl3030,"j215736, avl3030",,,,0,"not hatched fon ringed, nothing on faceplate",,,,,,,,,
20211B108,b,Keith Mc Mahon,false,g,6,true,16-06-2021,,,22-04-2021,22,0,3,1.00,true,0,12-05-2021,17-05-2021,47,18,4.60,3,8,6,6,61,15,6,0,6,17.20,6,2,vz33290,vz30775,"vz30775, vz33290",,,,0,,,,,,,,,,
20211B109,b,Keith Mc Mahon,false,b,6,true,27-05-2021,,,19-04-2021,19,0,3,1.00,true,0,11-05-2021,16-05-2021,46,18,3.40,3,10,10,0,,,,10,0,,0,0,,,,,,,0,"fon unringed, nothing on faceplate",,,,,,,,,
20211B11,b,Keith Mc Mahon,false,,6,true,07-06-2021,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B110,b,Keith Mc Mahon,false,b,6,true,07-06-2021,,,27-04-2021,27,0,4,1.00,true,0,18-05-2021,18-05-2021,48,13,3.00,3,9,7,6,62,15,6,0,6,10.53,6,2,afh4845,s883612,"s883612, afh4845",,,,0,"female ring starts s883, not hatched female ring has an 8 in it, female s8",,,,,,,,,
20211B111,b,Keith Mc Mahon,false,b,6,true,07-06-2021,,,23-04-2021,23,0,4,1.00,true,0,14-05-2021,15-05-2021,45,12,3.20,3,11,8,8,59,15,8,0,8,11.28,8,2,,avl7884,avl7884,,,,0,"not hatched, fon ringed, fon, no sign of the male",,,,,,,,,
20211B112,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B113,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B114,b,Keith Mc Mahon,false,b,6,true,16-06-2021,,,25-04-2021,25,0,4,0.50,true,0,17-05-2021,20-05-2021,50,16,3.40,3,10,8,8,64,15,8,0,8,11.70,8,2,j215809,avl7905,"j215809, avl7905",,,,0,"fur, not hatched, not hatched, nothing on faceplate",,,,,,,,,
20211B115,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B116,b,Keith Mc Mahon,false,,6,true,25-05-2021,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B117,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B118,b,Anett Kiss,false,,6,true,09-06-2021,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,"visited on 27th of Feb, abandoned",,,,,,,,,
20211B119,b,Anett Kiss,false,g,6,true,16-06-2021,,,30-04-2021,30,0,4,1.00,true,0,19-05-2021,21-05-2021,51,15,7.32,4,7,7,7,65,15,7,0,7,19.39,7,3,ty69088,ty68281,"ty68281, 01101769da, 01103fb986",,,,0,"visited on 27th of Feb, sp guess from nest lining, sp guess from egg size, FON ring read, not hatched, FON, faceplated",,,,,,,,,
20211B12,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B121,b,Anett Kiss,false,,6,true,16-06-2021,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,"visited on 27th of Feb, end of season closing box",,,,,,,,,
20211B122,b,Anett Kiss,false,b,6,true,16-06-2021,,,23-04-2021,23,0,4,0.67,true,0,15-05-2021,19-05-2021,49,17,3.81,3,10,10,8,63,15,8,0,8,10.85,8,3,j215813,z101246,"0700edd317, z101246, j215813",,,,0,"visited on 27th of Feb, sp guess from nest lining, eggs uncovered but cold, eggs uncovered but cold, FON PIT scanned, trapped, trapped, FON",,,,,,,,,
20211B123,b,Anett Kiss,false,,6,true,09-06-2021,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,visited on 27th of Feb,,,,,,,,,
20211B124,b,Anett Kiss,false,,6,true,09-06-2021,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,"visited on 27th of Feb, abandoned",,,,,,,,,
20211B125,b,Keith Mc Mahon,false,b,6,true,07-06-2021,,,22-04-2021,22,0,3,1.00,true,0,14-05-2021,18-05-2021,48,17,3.10,3,10,10,10,62,15,10,0,10,10.50,10,2,avl6192,,avl6192,,,,0,"fur, male, female not ringed",,,,,,,,,
20211B126,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B127,b,Keith Mc Mahon,false,b,6,true,07-06-2021,,,21-04-2021,21,0,3,1.00,true,1,12-05-2021,18-05-2021,48,19,3.70,3,9,8,8,62,15,8,0,8,10.48,8,2,j215807,afh2697,"j215807, afh2697",,,,0,"calling bird was ringed, cracked egg in nest",,,,,,,,,
20211B128,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B129,b,Keith Mc Mahon,false,b,6,true,07-06-2021,,,20-04-2021,20,0,3,0.75,true,0,12-05-2021,18-05-2021,48,19,3.60,3,10,9,9,62,15,9,0,9,10.96,9,1,avl5585,,avl5585,,,,0,"fur, fp failed",,,,,,,,,
20211B13,b,Keith Mc Mahon,false,b,6,true,16-06-2021,,,26-04-2021,26,0,7,,,0,,,,,,,2,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B130,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B131,b,Keith Mc Mahon,false,b,6,true,28-06-2021,,,26-04-2021,26,0,7,0.75,true,0,15-05-2021,19-05-2021,49,17,3.40,3,7,7,7,63,15,7,0,7,11.34,7,3,avl5441,avl3037,"avl3037, 011016a3e0, avl5441",,,,0,not hatched,,,,,,,,,
20211B133,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B134,b,Keith Mc Mahon,false,,1,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B136,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B137,b,Keith Mc Mahon,false,g,6,true,07-06-2021,,,19-04-2021,19,0,7,1.00,true,0,08-05-2021,15-05-2021,45,20,5.10,3,7,6,6,59,15,6,0,6,16.50,6,2,ty70093,tw77193,"01103f9b26, ty70093",,,,0,"cold, faceplate failed",,,,,,,,,
20211B138,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B139,b,Keith Mc Mahon,false,,6,true,07-06-2021,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B14,b,Keith Mc Mahon,false,g,6,true,16-06-2021,,,30-04-2021,30,0,4,0.67,true,0,17-05-2021,21-05-2021,51,17,5.00,3,5,5,5,65,15,5,0,5,17.94,5,3,tr43355,tw77053,"tw77053, tr43355",,,,0,"not hatched fon ringed, not hatched, not hatchewd",,,,,,,,,
20211B140,b,Keith Mc Mahon,false,b,6,true,07-06-2021,,,19-04-2021,19,0,3,1.00,true,0,09-05-2021,11-05-2021,41,15,3.10,3,8,8,8,55,15,8,0,8,10.08,8,3,avl3013,avl6702,"01103f962b, avl6702",,,,0,"fon unringed, not hatched female unringed, male ID female not ringed",,,,,,,,,
20211B141,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B142,b,Keith Mc Mahon,false,b,6,true,07-06-2021,,,21-04-2021,21,0,3,1.00,true,0,12-05-2021,14-05-2021,44,15,2.90,3,9,8,8,58,15,8,0,8,10.76,8,3,afh3143,abj6256,"01103fb3d6, afh3143, abj6256",,,,0,"not hatched, not hatched fon",,,,,,,,,
20211B142A,b,Keith Mc Mahon,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20211B143,b,Keith Mc Mahon,false,b,6,true,24-05-2021,,,25-04-2021,25,0,7,1.00,true,0,19-05-2021,,,,3.50,3,12,,0,,,,0,0,,0,0,,,,,,,0,"fon ringed, eggs cold",,,,,,,,,
20211B144,b,Keith Mc Mahon,false,g,6,true,25-05-2021,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
