pnum,april_lay_date,clutch_size,num_fledglings,father,mother,box,year,wytham_born,natal_box,age,x,y,recorded,repertoire_size,self_similarity,ac_sim,shared,total_rep,mean_spat_dist,mean_ac_sim,dispersal_distance,prop_immigrants,mean_dispersal
20201B11,16.0,9.0,9,vz30774,vz30536,B11,2020,False,,6.0,447748.72,207573.76,True,,,,,,,,,0.5,419.5
20201B12,23.0,6.0,1,,vz30574,B12,2020,,,,447764.69,207643.69,False,,,,,,,,,,
20201B123,22.0,6.0,6,vz30961,ve32975,B123,2020,False,,6.0,447860.72,207831.76,True,,,,,,,,,0.4,330.2
20201B125,33.0,4.0,0,,,B125,2020,,,,447825.72,207780.76,True,,,,,,,,,,
20201B142,28.0,6.0,0,,vz31162,B142,2020,,,,447504.72,207456.76,True,,,,,,,,,,
20201B145,32.0,2.0,2,vb55885,vs84265,B145,2020,True,B12,6.0,447527.72,207497.76,True,,,,,,,,278.3,0.6,331.2
20201B150,21.0,7.0,3,,tw41887,B150,2020,,,,447611.72,207617.76,True,,,,,,,,,,
20201B153,20.0,8.0,5,,tr42599,B153,2020,,,,447547.72,207642.76,False,,,,,,,,,,
20201B161,15.0,9.0,8,te80930,tw77018,B161,2020,True,B8,5.0,447430.72,207645.76,True,1.0,,0.3713665541310541,2.0,33.0,274.93899999999996,0.3516278333333333,383.7,0.5,300.6
20201B165,23.0,8.0,0,,,B165,2020,,,,447457.72,207519.76,True,3.0,0.39400999999999997,0.380361222697056,2.0,52.0,260.14099999999996,0.37626745,,,
20201B170A,22.0,8.0,0,tr43319,tr43325,B170A,2020,False,,5.0,447554.72,207377.76,True,,,,,,,,,0.6,363.4
20201B174,22.0,7.0,7,vs84187,vz30933,B174,2020,True,P5,5.0,447714.72,207418.76,False,,,,,,,,542.4,0.7,468.5
20201B175,20.0,3.0,0,,,B175,2020,,,,447753.72,207473.76,True,2.0,0.29746,0.3228121908831909,2.0,49.0,268.125,0.31999279166666666,,,
20201B181,25.0,6.0,0,,ty70198,B181,2020,,,,447524.72,207793.76,True,,,,,,,,,,
20201B192,14.0,8.0,8,vz30984,ty70025,B192,2020,True,B227,5.0,447817.72,208064.76,True,,,,,,,,64.9,0.6,416.8
20201B198,20.0,8.0,0,tx42887,tw41886,B198,2020,True,B52,5.0,447686.72,207767.76,True,,,,,,,,149.8,0.6,475.8
20201B20,23.0,7.0,5,ty70134,ty70132,B20,2020,False,,5.0,447946.72,207757.76,True,,,,,,,,,0.5,383.3
20201B205,21.0,7.0,5,vz32583,ty70131,B205,2020,True,MP75,6.0,447877.72,207724.76,True,1.0,,0.3526561566951567,4.0,38.0,290.181,0.35924978333333335,878.1,0.6,259.6
20201B207,22.0,4.0,3,ty70159,,B207,2020,False,,6.0,447530.72,207839.76,True,1.0,,0.4637352421652422,0.0,36.0,332.011,0.442368,,0.5,327.1
20201B221,19.0,9.0,0,vz33585,,B221,2020,False,,6.0,447557.72,207344.76,True,2.0,0.3616,0.3872869202279202,6.0,48.0,313.08299999999997,0.3678464083333333,,0.6,363.4
20201B225,15.0,8.0,0,vz30587,tx42888,B225,2020,False,,5.0,447796.72,207941.76,True,2.0,0.40012,0.3980040227920228,2.0,49.0,336.78000000000003,0.4080318083333333,,0.5,346.5
20201B227,20.0,9.0,7,vs84262,ty70133,B227,2020,False,,6.0,447763.72,208100.76,True,3.0,0.3620933333333333,0.37731333333333333,6.0,57.0,451.869,0.38521858333333336,,0.6,371.2
20201B27,19.0,8.0,2,,tr43266,B27,2020,,,,447787.72,207749.76,True,4.0,0.40747833333333333,0.360725686965812,2.0,67.0,269.256,0.3668590625,,,
20201B3,19.0,7.0,6,,vz30775,B3,2020,,,,447845.72,207529.76,True,5.0,0.32786,0.33209196153846154,2.0,80.0,287.701,0.32731591,,,
20201B31,24.0,7.0,7,tr42596,tw77053,B31,2020,False,,5.0,447707.72,207601.76,True,,,,,,,,,0.5,419.5
20201B4,13.0,9.0,9,tr43324,vz32629,B4,2020,False,,5.0,447845.72,207474.76,True,5.0,0.33875700000000003,0.3372057102564103,2.0,76.0,295.95500000000004,0.33804402666666666,,0.6,487.0
20201B43,24.0,8.0,5,vz30787,tw77126,B43,2020,False,,6.0,447567.72,207480.76,True,,,,,,,,,0.6,363.4
20201B48,24.0,7.0,3,,tr43327,B48,2020,,,,447574.72,207528.76,True,,,,,,,,,,
20201B49,19.0,7.0,7,,tx42362,B49,2020,,,,447581.72,207564.76,True,,,,,,,,,,
20201B57,19.0,9.0,9,,tw77051,B57,2020,,,,447524.72,207609.76,True,,,,,,,,,,
20201B67,25.0,7.0,0,,tw77127,B67,2020,,,,447465.72,207469.76,True,4.0,0.3884033333333334,0.37448727564102563,8.0,61.0,269.056,0.38580336666666665,,,
20201B76,17.0,8.0,7,tv44238,vz32977,B76,2020,True,B107,6.0,447677.72,207683.76,True,,,,,,,,249.1,0.5,446.5
20201B81,26.0,6.0,1,,ty70197,B81,2020,,,,447516.72,207786.76,True,,,,,,,,,,
20201B87,19.0,8.0,0,,vz30591,B87,2020,,,,447722.72,207967.76,True,,,,,,,,,,
20201B97,18.0,7.0,6,,te80864,B97,2020,,,,447845.72,207605.76,True,,,,,,,,,,
20201C10,16.0,8.0,8,te80995,ty68508,C10,2020,False,,5.0,446147.33,206622.71,True,,,,,,,,,0.6,423.1
20201C105,13.0,9.0,8,tr44601,tv44590,C105,2020,True,O75A,6.0,446268.72,206788.76,True,,,,,,,,570.9,0.7,373.8
20201C107,22.0,7.0,5,,vz32780,C107,2020,,,,446221.72,206699.76,True,,,,,,,,,,
20201C11,46.0,6.0,0,,,C11,2020,,,,446215.33,206611.71,False,,,,,,,,,,
20201C110,14.0,8.0,0,,,C110,2020,,,,446166.33,206677.71,True,,,,,,,,,,
