box,section,x,y
b1,b,447796.72,207573.76
b10,b,447762.72,207546.76
b100,b,447811.72,207581.76
b101,b,447802.72,207554.76
b102,b,447821.72,207526.8
b103,b,447834.72,207496.76
b104,b,447838.32,207450.9
b105,b,447818.72,207429.76
b106,b,447800.72,207405.76
b107,b,447777.74,207455.59
b108,b,447807.72,207495.76
b109,b,447798.72,207514.76
b11,b,447748.72,207573.76
b110,b,447773.72,207567.76
b111,b,447749.72,207600.76
b112,b,447766.72,207641.76
b113,b,447736.72,207671.76
b114,b,447784.72,207706.76
b115,b,447806.72,207691.76
b116,b,447853.72,207707.76
b117,b,447847.72,207748.76
b118,b,447876.72,207747.76
b119,b,447917.72,207770.76
b12,b,447764.69,207643.69
b121,b,447972.72,207792.76
b122,b,447907.72,207820.76
b123,b,447860.72,207831.76
b124,b,447837.72,207800.76
b125,b,447825.72,207780.76
b126,b,447801.72,207750.76
b127,b,447741.72,207722.76
b128,b,447731.72,207685.76
b129,b,447715.72,207690.76
b13,b,447721.72,207648.76
b130,b,447703.72,207669.76
b131,b,447699.72,207631.8
b133,b,447691.72,207564.76
b134,b,447697.72,207541.76
b136,b,447668.72,207519.76
b137,b,447627.72,207477.76
b138,b,447590.72,207502.76
b139,b,447604.85,207443.79
b14,b,447778.72,207683.76
b140,b,447545.19,207427.29
b141,b,447526.72,207414.76
b142,b,447504.72,207456.76
b142a,b,447515.72,207445.76
b143,b,447534.72,207473.76
b144,b,447505.72,207485.76
b145,b,447527.72,207497.76
b146,b,447556.72,207510.76
b147,b,447564.72,207496.76
b148,b,447596.72,207543.76
b149,b,447634.72,207592.76
b15,b,447811.72,207658.76
b150,b,447611.72,207617.76
b151,b,447645.72,207634.76
b152,b,447591.72,207643.76
b153,b,447547.72,207642.76
b154,b,447536.72,207584.76
b155,b,447492.72,207530.76
b156,b,447509.72,207593.76
b157,b,447520.72,207641.76
b158,b,447532.72,207680.76
b159,b,447479.24,207694.76
b16,b,447829.72,207726.76
b160,b,447455.72,207669.76
b161,b,447430.72,207645.76
b162,b,447425.72,207600.76
b163,b,447469.72,207578.76
b164,b,447438.72,207559.76
b165,b,447457.72,207519.76
b166,b,447460.72,207498.76
b168,b,447496.72,207427.76
b169,b,447515.72,207380.76
b170,b,447556.72,207397.76
b170a,b,447554.72,207377.76
b171,b,447580.72,207416.76
b172,b,447621.72,207400.76
b173,b,447745.72,207409.76
b174,b,447714.72,207418.76
b175,b,447753.72,207473.76
b176,b,447668.72,207668.76
b177,b,447592.72,207740.76
b178,b,447526.72,207719.76
b179,b,447449.72,207766.76
b18,b,447895.72,207732.76
b180,b,447479.72,207788.76
b181,b,447524.72,207793.76
b182,b,447565.72,207801.76
b183,b,447566.72,207850.76
b184,b,447608.72,207849.76
b185,b,447636.72,207915.76
b186,b,447709.72,207935.76
b187,b,447750.36,207960.42
b188,b,447734.72,207987.76
b189,b,447754.72,208029.76
b190,b,447786.72,208094.76
b191,b,447743.72,208050.76
b192,b,447817.72,208064.76
b193,b,447813.72,207992.76
b194,b,447875.72,207960.76
b194a,b,447846.72,207942.76
b195,b,447788.72,207914.76
b196,b,447723.72,207846.76
b197,b,447740.72,207796.76
b198,b,447686.72,207767.76
b199,b,447651.72,207728.76
b2,b,447805.72,207531.76
b20,b,447946.72,207757.76
